work_year;experience_level;employment_type;job_title;salary_usd;employee_residence;remote_ratio;company_id;employment_status
2022;4;2;5;339926;3;1;62;4
2021;4;4;21;407774;43;1;95;1
2020;2;2;14;104628;22;2;43;3
2020;2;2;15;239530;7;2;19;4
2021;3;4;10;255316;46;1;18;1
2020;4;3;23;108704;20;2;29;3
2020;4;3;44;32280;38;1;41;4
2020;2;2;7;205773;20;1;77;2
2020;4;4;18;79841;5;2;100;3
2020;1;1;36;60413;33;2;5;4
2020;3;2;46;518132;21;3;90;1
2022;4;3;43;595647;13;3;5;3
2020;1;2;47;317255;37;2;15;2
2020;2;4;39;592114;43;3;52;4
2022;2;1;19;273782;32;2;99;1
2021;3;2;36;330819;22;2;6;4
2021;2;3;50;422007;6;1;50;4
2021;4;1;1;302457;3;3;63;3
2020;4;4;39;595403;20;3;98;4
2020;3;1;23;405062;31;1;20;4
2020;1;2;22;84097;39;1;5;2
2021;1;1;26;589205;46;3;78;1
2020;4;3;8;18831;48;3;100;3
2020;4;4;33;159430;6;3;89;1
2022;3;3;11;209251;21;1;14;2
2021;4;2;47;265742;23;1;100;2
2022;2;3;17;457754;16;1;51;4
2021;3;3;33;162337;32;1;31;3
2022;2;3;2;92010;1;2;67;2
2022;4;3;29;227007;10;3;26;3
2021;3;2;20;485568;29;1;42;2
2021;2;3;1;155538;30;1;51;2
2021;4;4;43;35077;5;2;27;4
2022;4;4;36;257898;25;2;14;2
2020;3;1;9;118334;29;1;83;4
2021;2;4;14;310882;12;3;72;3
2021;2;3;2;539509;26;1;34;1
2021;2;1;12;94575;44;3;80;3
2020;3;2;38;269329;36;1;66;4
2021;4;1;10;146057;40;2;87;2
2020;4;2;42;122897;5;3;71;2
2021;2;4;29;425379;52;1;35;1
2022;4;1;48;420975;41;2;66;4
2022;3;4;4;39747;21;3;10;4
2021;3;4;7;456774;14;2;37;2
2021;2;1;22;169827;34;1;72;2
2021;1;4;43;418928;9;2;37;3
2021;4;2;16;150723;24;2;17;2
2022;3;1;1;43558;21;3;6;2
2021;1;4;14;533795;48;1;91;2
2020;1;1;6;411909;50;3;65;1
2020;3;1;38;357794;19;1;59;1
2022;1;1;23;76298;16;2;1;1
2020;2;2;8;200143;6;2;83;3
2020;2;1;24;282934;28;1;65;4
2021;2;3;39;355683;27;1;23;2
2021;2;4;44;63830;15;1;52;1
2022;2;1;50;227436;22;1;94;1
2021;3;4;45;372264;25;1;85;1
2020;2;2;2;16172;2;3;47;1
2021;1;3;28;233234;27;3;63;4
2020;3;4;5;290493;14;1;8;4
2021;4;4;21;446981;21;3;64;3
2020;2;1;43;67194;3;2;31;1
2020;4;3;12;305822;20;3;59;3
2021;4;4;37;254697;37;1;49;2
2022;3;2;50;196679;34;2;62;1
2021;3;1;11;553993;33;2;63;3
2021;4;3;49;432263;2;2;66;3
2021;2;4;43;169106;5;1;16;1
2021;4;4;49;321179;7;3;69;1
2022;3;3;21;437583;55;2;4;1
2021;3;4;31;121501;8;3;8;4
2020;3;1;22;100418;20;3;32;2
2021;2;2;5;159901;21;3;60;1
2020;1;1;7;436258;18;1;96;3
2021;3;3;18;279256;22;1;98;1
2022;3;1;10;558836;57;1;27;2
2021;1;2;19;527920;21;1;98;2
2022;4;3;10;375365;41;3;11;4
2022;4;4;9;173981;15;1;68;1
2021;1;2;33;329134;24;1;41;4
2022;1;3;43;408598;19;1;46;1
2021;4;2;22;520464;21;3;39;4
2020;2;2;46;268404;47;1;92;4
2020;4;4;39;216025;48;1;96;3
2020;1;3;33;574732;19;3;48;1
2021;2;3;11;132824;43;2;91;4
2020;2;2;41;553482;27;1;85;1
2020;3;1;40;397771;25;1;63;1
2020;1;4;31;278264;35;2;58;1
2022;4;1;45;89314;19;3;82;2
2020;1;1;44;189454;2;3;58;4
2022;1;4;8;124729;57;2;23;1
2022;2;2;23;385722;7;3;64;1
2022;4;3;17;331058;51;1;35;3
2021;2;1;17;318831;15;2;50;2
2022;2;1;12;345518;13;3;59;3
2021;3;2;49;407964;44;3;1;1
2021;2;2;22;596788;54;2;67;1
2021;4;4;11;275821;47;2;75;1
2022;2;2;41;148067;20;3;28;3
2020;1;2;30;340019;19;3;95;1
2022;3;3;37;144551;33;3;37;1
2020;1;3;14;524425;4;2;58;4
2022;1;2;3;580811;35;3;73;1
2020;4;2;21;47039;27;1;18;4
2022;4;3;43;42924;57;3;42;2
2020;2;1;34;261715;52;3;24;1
2022;3;4;20;144879;53;1;44;1
2020;1;2;18;313797;2;1;18;1
2021;4;2;48;477467;42;1;9;3
2020;3;2;21;214615;5;3;87;2
2021;1;1;3;59894;57;1;55;1
2021;2;4;7;374457;18;3;80;2
2022;2;4;33;509933;37;1;48;1
2021;4;4;44;420153;49;3;13;1
2022;2;1;33;597955;43;3;20;3
2020;3;3;50;548191;18;1;36;2
2021;2;4;41;578445;11;1;19;1
2020;2;2;27;236221;19;1;62;4
2022;1;4;39;13665;34;3;28;2
2021;4;2;44;230782;56;1;97;4
2022;3;1;2;395943;31;3;36;3
2022;1;2;43;386836;3;2;55;2
2022;1;2;25;179505;54;1;33;2
2020;1;2;33;303575;10;3;85;1
2022;4;3;2;386540;4;1;69;3
2020;3;1;42;456308;4;1;66;4
2021;1;3;43;289476;20;2;83;4
2021;2;1;25;152794;4;2;87;4
2022;4;2;17;523568;10;3;92;1
2020;1;1;34;473242;14;1;84;2
2022;4;4;20;62365;50;1;67;3
2020;2;2;46;257253;21;1;94;3
2021;2;3;48;60680;42;1;64;1
2021;3;3;35;213994;38;2;66;2
2020;3;3;46;101779;28;1;6;3
2020;3;2;24;355447;51;2;6;3
