work_year;experience_level;employment_type;job_title;salary_usd;employee_residence;remote_ratio;company_id;employment_status
2022;4;2;5;339926;3;0;62;4
2021;4;4;21;407774;43;0;95;1
2020;2;2;14;104628;22;50;43;3
2020;2;2;15;239530;7;50;19;4
2021;3;4;10;255316;46;0;18;1
2020;4;3;23;108704;20;50;29;3
2020;4;3;44;32280;38;0;41;4
2020;2;2;7;205773;20;0;77;2
2020;4;4;18;79841;5;50;100;3
2020;1;1;36;60413;33;50;5;4
2020;3;2;46;518132;21;100;90;1
2022;4;3;43;595647;13;100;5;3
2020;1;2;47;317255;37;50;15;2
2020;2;4;39;592114;43;100;52;4
2022;2;1;19;273782;32;50;99;1
2021;3;2;36;330819;22;50;6;4
2021;2;3;50;422007;6;0;50;4
2021;4;1;1;302457;3;100;63;3
2020;4;4;39;595403;20;100;98;4
2020;3;1;23;405062;31;0;20;4
2020;1;2;22;84097;39;0;5;2
2021;1;1;26;589205;46;100;78;1
2020;4;3;8;18831;48;100;100;3
2020;4;4;33;159430;6;100;89;1
2022;3;3;11;209251;21;0;14;2
2021;4;2;47;265742;23;0;100;2
2022;2;3;17;457754;16;0;51;4
2021;3;3;33;162337;32;0;31;3
2022;2;3;2;92010;1;50;67;2
2022;4;3;29;227007;10;100;26;3
2021;3;2;20;485568;29;0;42;2
2021;2;3;1;155538;30;0;51;2
2021;4;4;43;35077;5;50;27;4
2022;4;4;36;257898;25;50;14;2
2020;3;1;9;118334;29;0;83;4
2021;2;4;14;310882;12;100;72;3
2021;2;3;2;539509;26;0;34;1
2021;2;1;12;94575;44;100;80;3
2020;3;2;38;269329;36;0;66;4
2021;4;1;10;146057;40;50;87;2
2020;4;2;42;122897;5;100;71;2
2021;2;4;29;425379;52;0;35;1
2022;4;1;48;420975;41;50;66;4
2022;3;4;4;39747;21;100;10;4
2021;3;4;7;456774;14;50;37;2
2021;2;1;22;169827;34;0;72;2
2021;1;4;43;418928;9;50;37;3
2021;4;2;16;150723;24;50;17;2
2022;3;1;1;43558;21;100;6;2
2021;1;4;14;533795;48;0;91;2
2020;1;1;6;411909;50;100;65;1
2020;3;1;38;357794;19;0;59;1
2022;1;1;23;76298;16;50;1;1
2020;2;2;8;200143;6;50;83;3
2020;2;1;24;282934;28;0;65;4
2021;2;3;39;355683;27;0;23;2
2021;2;4;44;63830;15;0;52;1
2022;2;1;50;227436;22;0;94;1
2021;3;4;45;372264;25;0;85;1
2020;2;2;2;16172;2;100;47;1
2021;1;3;28;233234;27;100;63;4
2020;3;4;5;290493;14;0;8;4
2021;4;4;21;446981;21;100;64;3
2020;2;1;43;67194;3;50;31;1
2020;4;3;12;305822;20;100;59;3
2021;4;4;37;254697;37;0;49;2
2022;3;2;50;196679;34;50;62;1
2021;3;1;11;553993;33;50;63;3
2021;4;3;49;432263;2;50;66;3
2021;2;4;43;169106;5;0;16;1
2021;4;4;49;321179;7;100;69;1
2022;3;3;21;437583;55;50;4;1
2021;3;4;31;121501;8;100;8;4
2020;3;1;22;100418;20;100;32;2
2021;2;2;5;159901;21;100;60;1
2020;1;1;7;436258;18;0;96;3
2021;3;3;18;279256;22;0;98;1
2022;3;1;10;558836;57;0;27;2
2021;1;2;19;527920;21;0;98;2
2022;4;3;10;375365;41;100;11;4
2022;4;4;9;173981;15;0;68;1
2021;1;2;33;329134;24;0;41;4
2022;1;3;43;408598;19;0;46;1
2021;4;2;22;520464;21;100;39;4
2020;2;2;46;268404;47;0;92;4
2020;4;4;39;216025;48;0;96;3
2020;1;3;33;574732;19;100;48;1
2021;2;3;11;132824;43;50;91;4
2020;2;2;41;553482;27;0;85;1
2020;3;1;40;397771;25;0;63;1
2020;1;4;31;278264;35;50;58;1
2022;4;1;45;89314;19;100;82;2
2020;1;1;44;189454;2;100;58;4
2022;1;4;8;124729;57;50;23;1
2022;2;2;23;385722;7;100;64;1
2022;4;3;17;331058;51;0;35;3
2021;2;1;17;318831;15;50;50;2
2022;2;1;12;345518;13;100;59;3
2021;3;2;49;407964;44;100;1;1
2021;2;2;22;596788;54;50;67;1
2021;4;4;11;275821;47;50;75;1
2022;2;2;41;148067;20;100;28;3
2020;1;2;30;340019;19;100;95;1
2022;3;3;37;144551;33;100;37;1
2020;1;3;14;524425;4;50;58;4
2022;1;2;3;580811;35;100;73;1
2020;4;2;21;47039;27;0;18;4
2022;4;3;43;42924;57;100;42;2
2020;2;1;34;261715;52;100;24;1
2022;3;4;20;144879;53;0;44;1
2020;1;2;18;313797;2;0;18;1
2021;4;2;48;477467;42;0;9;3
2020;3;2;21;214615;5;100;87;2
2021;1;1;3;59894;57;0;55;1
2021;2;4;7;374457;18;100;80;2
2022;2;4;33;509933;37;0;48;1
2021;4;4;44;420153;49;100;13;1
2022;2;1;33;597955;43;100;20;3
2020;3;3;50;548191;18;0;36;2
2021;2;4;41;578445;11;0;19;1
2020;2;2;27;236221;19;0;62;4
2022;1;4;39;13665;34;100;28;2
2021;4;2;44;230782;56;0;97;4
2022;3;1;2;395943;31;100;36;3
2022;1;2;43;386836;3;50;55;2
2022;1;2;25;179505;54;0;33;2
2020;1;2;33;303575;10;100;85;1
2022;4;3;2;386540;4;0;69;3
2020;3;1;42;456308;4;0;66;4
2021;1;3;43;289476;20;50;83;4
2021;2;1;25;152794;4;50;87;4
2022;4;2;17;523568;10;100;92;1
2020;1;1;34;473242;14;0;84;2
2022;4;4;20;62365;50;0;67;3
2020;2;2;46;257253;21;0;94;3
2021;2;3;48;60680;42;0;64;1
2021;3;3;35;213994;38;50;66;2
2020;3;3;46;101779;28;0;6;3
2020;3;2;24;355447;51;50;6;3
2022;1;1;45;539751;43;50;54;3
2021;4;4;10;344673;41;100;28;3
2022;1;4;23;297284;52;50;82;4
2020;2;1;36;119630;52;100;45;1
2020;1;1;14;342777;22;0;18;2
2021;4;4;17;263891;38;100;69;4
2021;2;1;15;352763;11;0;43;4
2020;1;4;23;189915;8;50;80;3
2022;4;1;28;70826;33;50;70;4
2022;2;1;22;483263;28;50;96;4
2021;2;1;2;460086;52;50;68;2
2020;2;4;41;561779;16;100;9;2
2020;4;2;21;534612;19;0;12;1
2021;1;3;27;78574;23;100;45;1
2022;2;1;13;224404;9;100;14;3
2021;3;1;48;66471;21;0;30;3
2021;1;4;18;171129;3;100;83;1
2020;2;3;4;189960;57;50;26;4
2021;1;1;38;60551;50;0;42;2
2020;4;4;16;100876;51;50;70;4
2022;2;3;17;365875;30;50;17;3
2022;4;3;39;369776;40;100;5;1
2020;4;3;44;235711;6;50;98;4
2020;4;4;41;57285;14;50;77;1
2022;1;3;1;301567;46;0;97;3
2020;2;1;39;575800;7;0;73;1
2021;1;2;4;49101;3;100;23;3
2021;4;4;22;479216;30;50;88;1
2020;3;4;4;77643;27;100;49;2
2021;3;1;26;378011;15;100;20;3
2021;3;3;13;225194;24;50;67;1
2022;2;3;35;233504;49;100;84;2
2022;4;4;25;359700;20;0;42;4
2021;1;2;25;381630;41;0;51;4
2022;1;3;50;594370;6;100;67;1
2022;4;1;5;8511;56;100;39;1
2020;2;4;37;320857;46;0;94;2
2020;3;2;46;124060;30;50;48;1
2020;1;1;5;24945;15;0;75;3
2020;4;4;9;184825;29;0;84;3
2021;4;1;14;287160;15;100;72;2
2020;4;3;35;204425;24;100;45;4
2020;2;3;10;593865;20;100;52;4
2021;3;2;47;438597;35;50;98;3
2020;1;4;25;340340;9;0;99;3
2020;3;2;35;441899;5;100;94;3
2022;1;1;50;92547;45;0;72;4
2020;3;2;9;257769;29;100;16;3
2021;2;1;25;73315;11;0;73;2
2021;4;3;44;313422;27;100;66;4
2022;4;3;50;86791;51;100;4;4
2021;4;4;39;590088;19;50;81;4
2020;3;3;47;21838;14;100;92;3
2020;1;2;15;331068;15;100;84;2
2020;1;1;45;29280;26;0;36;3
2020;3;2;7;97723;12;0;98;3
2022;1;4;15;506482;38;100;7;4
2021;2;3;42;335696;11;50;49;4
2020;1;1;3;547707;5;100;42;4
2020;4;2;46;562498;56;50;43;1
2021;3;1;45;57750;9;50;9;2
2022;1;4;22;452603;40;0;21;3
2022;3;4;35;468178;38;50;74;2
2020;3;1;24;203884;9;50;88;2
2020;4;4;23;285964;43;100;81;4
2021;3;4;3;348945;42;0;39;4
2021;3;3;39;59084;44;0;98;1
2022;4;2;35;558341;55;0;91;4
2022;2;2;16;91558;25;50;33;1
2022;2;1;29;224006;16;0;85;2
2020;2;3;30;72544;18;50;70;4
2022;1;1;46;166895;43;100;56;2
2020;1;2;50;360031;17;50;48;2
2021;3;4;5;184545;30;100;12;4
2021;2;2;31;157876;44;50;25;2
2020;4;2;50;143245;54;50;96;3
2020;4;1;6;408252;17;0;40;2
2020;3;2;40;110139;43;100;38;1
2022;1;3;4;358811;22;100;99;1
2022;2;2;7;152855;38;50;49;2
2020;1;3;10;232382;26;0;52;2
2020;1;3;39;19482;40;50;3;3
2021;1;4;11;336732;34;50;92;2
2020;1;2;15;420207;7;50;22;3
2022;2;2;7;175677;53;0;10;4
2021;3;4;7;70676;23;100;10;3
2022;3;4;11;445897;37;0;62;2
2022;3;2;3;17155;49;50;64;3
2021;3;1;17;194757;44;50;54;1
2022;3;2;38;75453;1;100;28;4
2021;3;4;39;249640;31;50;60;3
2020;4;3;28;499224;4;0;58;4
2022;2;2;33;173261;36;0;4;2
2022;1;1;39;257308;16;100;30;4
2021;2;4;42;567123;9;0;99;3
2022;3;4;21;452343;43;100;36;4
2021;4;4;5;396540;29;50;44;2
2020;4;4;41;94123;36;100;37;3
2020;4;1;8;198404;30;50;82;4
2022;3;4;6;200113;15;0;4;3
2021;1;3;37;242825;32;0;45;2
2021;1;2;15;107447;31;50;16;4
2021;3;2;26;487158;27;50;82;1
2020;2;1;44;94325;22;0;75;3
2020;2;1;14;40736;6;100;1;4
2021;3;3;36;30810;49;50;4;2
2020;1;2;11;192749;9;50;75;1
2022;3;3;3;538446;28;0;22;2
2022;2;4;2;314263;13;0;71;1
2022;4;1;34;462697;44;0;57;1
2022;4;3;3;449643;36;100;84;2
2022;2;2;29;572836;12;100;88;3
2020;3;1;43;70948;24;0;23;1
2021;4;1;45;8288;19;50;95;1
2022;3;4;7;365168;57;100;8;3
2020;4;4;9;443673;15;50;73;3
2022;4;1;47;45703;15;100;38;1
2021;1;4;32;324882;11;0;89;2
2022;3;3;18;572083;13;100;9;2
2021;1;4;21;444910;35;50;48;4
2022;2;4;47;74939;47;0;17;3
2020;1;3;22;569898;9;0;45;4
2022;3;1;4;278782;28;0;34;4
2022;2;3;44;363308;31;0;20;3
2020;1;1;14;287444;19;100;27;2
2021;3;2;49;112460;55;50;60;2
2021;1;1;11;323467;7;100;84;2
2020;1;1;4;113278;27;0;50;2
2022;1;4;36;356555;22;100;74;2
2022;3;4;5;126529;15;50;82;1
2020;3;1;40;299286;52;0;9;3
2021;3;4;43;302877;7;50;92;1
2022;3;3;7;375515;27;0;72;3
2020;3;2;10;150213;52;50;73;2
2022;3;2;40;137542;2;50;85;3
2021;4;1;24;398904;36;50;84;2
2020;2;4;2;211953;19;100;34;4
2021;2;3;8;572869;5;100;72;2
2021;2;2;37;219158;12;100;77;2
2020;3;2;16;372412;51;50;32;1
2022;3;1;4;47533;36;0;29;4
2022;2;4;20;20840;5;0;57;2
2020;2;1;23;42638;24;100;32;1
2020;1;1;14;146523;56;0;75;3
2021;3;3;18;528667;10;50;61;1
2022;3;4;40;534709;35;50;91;4
2022;3;4;11;349018;43;0;18;1
2022;2;3;16;272150;2;50;33;3
2020;3;2;47;506459;49;100;58;4
2022;4;3;43;354798;56;100;24;4
2020;3;2;12;41361;50;0;70;3
2021;2;3;32;422585;28;0;39;1
2021;4;3;5;451129;44;50;64;1
2021;3;4;25;282886;43;100;2;4
2022;1;3;14;58219;16;0;90;3
2020;3;2;20;480387;29;50;8;3
2021;2;4;44;455918;43;100;82;2
2021;3;4;10;494898;49;100;50;2
2020;1;4;44;526728;23;50;9;4
2022;4;1;26;289515;25;0;85;3
2020;4;1;10;24516;22;100;66;1
2020;2;3;10;314416;25;100;79;1
2022;1;2;10;322730;51;0;1;1
2020;3;3;1;187104;35;0;40;2
2020;2;3;27;497527;21;50;82;1
2020;4;4;10;260058;19;50;31;2
2022;2;4;17;17050;42;0;84;3
2021;3;4;8;368058;41;0;27;4
2020;2;2;18;381326;51;50;43;1
2020;2;1;20;532430;19;0;93;1
2021;3;1;23;318061;38;0;76;4
2021;4;4;20;412003;10;100;87;2
2021;3;4;37;539669;10;0;91;1
2021;4;4;18;63663;25;50;93;1
2022;3;2;30;456557;56;0;9;2
2022;1;3;37;419025;32;0;58;2
2021;4;1;47;340351;22;0;71;1
2022;1;1;33;187584;50;50;23;3
